"","X","LID","Metricas","value"
"196",13,"Perquenco","AREA_MN.z",-0.800814729512989
"197",13,"Perquenco","GYRATE_MN.z",-0.543945449034063
"198",13,"Perquenco","SHAPE_MN.z",-0.140386368343581
"199",13,"Perquenco","PARA_MN.z",1.15127427167782
"200",13,"Perquenco","PAFRAC.z",0.484607261888241
"201",13,"Perquenco","ENN_MN.z",0.165873707251952
"202",13,"Perquenco","IJI.z",-1.94892065323997
"203",13,"Perquenco","COHESION.z",-0.482425546645789
"204",13,"Perquenco","AI.z",-0.502999393395568
"205",13,"Perquenco","DIVISION.z",0.383322358925313
"206",13,"Perquenco","NP.z",-1.09198083658694
"207",13,"Perquenco","PD.z",0.363320787630936
"208",13,"Perquenco","LSI.z",-1.0446881658676
"209",14,"Padre de las casas","PLAND.z",-0.82743890491347
"210",14,"Padre de las casas","LPI.z",-0.463242237234005
"211",14,"Padre de las casas","ED.z",-0.921777007583712
"212",14,"Padre de las casas","AREA_MN.z",-0.535782766476135
"213",14,"Padre de las casas","GYRATE_MN.z",-0.900293630985798
"214",14,"Padre de las casas","SHAPE_MN.z",-0.561467877548357
"215",14,"Padre de las casas","PARA_MN.z",0.835941544786805
"216",14,"Padre de las casas","PAFRAC.z",-0.202193392899985
"217",14,"Padre de las casas","ENN_MN.z",0.468240007214367
"218",14,"Padre de las casas","IJI.z",0.0536102554885463
"219",14,"Padre de las casas","COHESION.z",-0.0493844851498022
"220",14,"Padre de las casas","AI.z",0.268051411908149
"221",14,"Padre de las casas","DIVISION.z",0.395682297868701
"222",14,"Padre de las casas","NP.z",-1.33244332946028
"223",14,"Padre de las casas","PD.z",-0.590295815320436
"224",14,"Padre de las casas","LSI.z",-1.27991546859468
"225",15,"Melipeuco","PLAND.z",-1.12187725671218
"226",15,"Melipeuco","LPI.z",-0.67039629500071
"227",15,"Melipeuco","ED.z",-1.35354608973154
"228",15,"Melipeuco","AREA_MN.z",0.000783682469142355
"229",15,"Melipeuco","GYRATE_MN.z",3.82101495687343
"230",15,"Melipeuco","SHAPE_MN.z",0.562973236572161
"231",15,"Melipeuco","PARA_MN.z",-2.0681617030035
"232",15,"Melipeuco","PAFRAC.z",0.236972096218121
"233",15,"Melipeuco","ENN_MN.z",0.273561181386072
"234",15,"Melipeuco","IJI.z",0.0594666580086137
"235",15,"Melipeuco","COHESION.z",-0.144066733868892
"236",15,"Melipeuco","AI.z",0.457664246708362
"237",15,"Melipeuco","DIVISION.z",0.42746499800884
"238",15,"Melipeuco","NP.z",-1.48841900051325
"239",15,"Melipeuco","PD.z",-1.59955957876344
"240",15,"Melipeuco","LSI.z",-1.22186297465209
"241",16,"Lumaco","PLAND.z",2.5129500548962
"242",16,"Lumaco","LPI.z",3.92623361236004
"243",16,"Lumaco","ED.z",1.43937429542718
"244",16,"Lumaco","AREA_MN.z",3.46473956304056
"245",16,"Lumaco","GYRATE_MN.z",0.290997723446024
"246",16,"Lumaco","SHAPE_MN.z",-0.288532319284088
"247",16,"Lumaco","PARA_MN.z",0.609466422180536
"248",16,"Lumaco","PAFRAC.z",-0.186716195045604
"249",16,"Lumaco","ENN_MN.z",-0.796375455807983
"250",16,"Lumaco","IJI.z",0.322936899197007
"251",16,"Lumaco","COHESION.z",1.06657910654902
"252",16,"Lumaco","AI.z",1.29379403344774
"253",16,"Lumaco","DIVISION.z",-4.74605230258038
"254",16,"Lumaco","NP.z",-0.0651410021548751
"255",16,"Lumaco","PD.z",-0.44385591928982
"256",16,"Lumaco","LSI.z",0.59527652331938
"257",17,"Lonquimay","PLAND.z",-1.33292343073075
"258",17,"Lonquimay","LPI.z",-0.751250257635644
"259",17,"Lonquimay","ED.z",-1.61956779464744
"260",17,"Lonquimay","AREA_MN.z",-0.783895248610461
"261",17,"Lonquimay","GYRATE_MN.z",-1.29014138974727
"262",17,"Lonquimay","SHAPE_MN.z",-2.73494248211247
"263",17,"Lonquimay","PARA_MN.z",-1.08787835751786
"264",17,"Lonquimay","PAFRAC.z",-2.52570772078918
"265",17,"Lonquimay","ENN_MN.z",3.9687230148982
"266",17,"Lonquimay","IJI.z",-0.369631178954266
"267",17,"Lonquimay","COHESION.z",-0.832274923587613
"268",17,"Lonquimay","AI.z",0.40591513520761
"269",17,"Lonquimay","DIVISION.z",0.430996409135522
"270",17,"Lonquimay","NP.z",-1.18946563099505
"271",17,"Lonquimay","PD.z",-1.79988935653333
"272",17,"Lonquimay","LSI.z",-1.43328773204002
"273",18,"Lonco","PLAND.z",0.425836453781312
"274",18,"Lonco","LPI.z",-0.271167360932593
"275",18,"Lonco","ED.z",0.939184798197237
"276",18,"Lonco","AREA_MN.z",-0.191728618711906
"277",18,"Lonco","GYRATE_MN.z",0.0673935660083923
"278",18,"Lonco","SHAPE_MN.z",0.469547862105174
"279",18,"Lonco","PARA_MN.z",-0.230521547736917
"280",18,"Lonco","PAFRAC.z",0.5213656067924
"281",18,"Lonco","ENN_MN.z",-0.442994372527155
"282",18,"Lonco","IJI.z",0.445485030738614
"283",18,"Lonco","COHESION.z",0.502085991006141
"284",18,"Lonco","AI.z",-0.0238544795706849
"285",18,"Lonco","DIVISION.z",0.286208552941558
"286",18,"Lonco","NP.z",1.39063192767287
"287",18,"Lonco","PD.z",1.12129368948541
"288",18,"Lonco","LSI.z",1.02574606718938
"289",19,"Lautaro","PLAND.z",-0.0478628594547706
"290",19,"Lautaro","LPI.z",-0.523915301100981
"291",19,"Lautaro","ED.z",-0.192467780417955
"292",19,"Lautaro","AREA_MN.z",-0.0926535047432484
"293",19,"Lautaro","GYRATE_MN.z",0.645348742775807
"294",19,"Lautaro","SHAPE_MN.z",-0.560800553445022
"295",19,"Lautaro","PARA_MN.z",-0.879528175644735
"296",19,"Lautaro","PAFRAC.z",-1.17725685772609
"297",19,"Lautaro","ENN_MN.z",-0.172366183659178
"298",19,"Lautaro","IJI.z",0.0544538101561723
"299",19,"Lautaro","COHESION.z",0.164952838406846
"300",19,"Lautaro","AI.z",0.671928210840264
"301",19,"Lautaro","DIVISION.z",0.386853770051997
"302",19,"Lautaro","NP.z",0.155824531836836
"303",19,"Lautaro","PD.z",0.118473281467746
"304",19,"Lautaro","LSI.z",-0.212344278390789
"305",20,"Imperial","PLAND.z",-0.0185300069957577
"306",20,"Imperial","LPI.z",-0.349274913571543
"307",20,"Imperial","ED.z",0.246002764285783
"308",20,"Imperial","AREA_MN.z",-0.566896825359558
"309",20,"Imperial","GYRATE_MN.z",-0.861671951117335
"310",20,"Imperial","SHAPE_MN.z",-1.08598462277015
"311",20,"Imperial","PARA_MN.z",-0.254089555525968
"312",20,"Imperial","PAFRAC.z",-0.399527665543363
"313",20,"Imperial","ENN_MN.z",-0.355220743446851
"314",20,"Imperial","IJI.z",-1.27646214268244
"315",20,"Imperial","COHESION.z",0.178971326688068
"316",20,"Imperial","AI.z",0.0560151794639959
"317",20,"Imperial","DIVISION.z",0.362133892165221
"318",20,"Imperial","NP.z",0.935702887101698
"319",20,"Imperial","PD.z",1.58814407803101
"320",20,"Imperial","LSI.z",0.115455784309419
"321",21,"Gorbea","PLAND.z",0.676711104236805
"322",21,"Gorbea","LPI.z",-0.0157859959895748
"323",21,"Gorbea","ED.z",0.952236275928285
