"","LID","PLAND.rescaled","LPI.rescaled","ED.rescaled","AREA_MN.rescaled","GYRATE_MN.rescaled","SHAPE_MN.rescaled","PARA_MN.rescaled","PAFRAC.rescaled","ENN_MN.rescaled","IJI.rescaled","COHESION.rescaled","AI.rescaled","DIVISION.rescaled","NP.rescaled","PD.rescaled","LSI.rescaled"
"25","Curarrehue",0,0,0.00423567936974989,0,0,0.357026451046759,1,0.420699925539836,0.657965782757661,0.186799558482037,0,0.0882297860386715,1,0,0.0183927560837578,0
"26","Cunco",0.184597195898183,0.0151621630141127,0.271745527027668,0.16033677529011,0.429279128006832,0.552964773724458,0.195092355581636,0.456440804169769,0.217844066851611,0.641633980153513,0.678803037070121,0.708904911278617,0.998635743519782,0.72681281618887,0.318053197509904,0.474999261589355
"27","Collipulli",0.753923396531606,0.375378961363093,0.532850837644156,0.965060253045242,0.716620450772877,0.585433120220634,0.265057652680959,0.462025316455697,0.095203242764997,0.486733549000675,0.971040643144259,1,0.767735334242837,0.365935919055649,0.246887379739672,0.345068524507849
"28","Cholchol",0.539997962673713,0.265025412430489,0.741495420245836,0.202575325707381,0.24486955603957,0.386110066441018,0.29243416060462,0.480268056589725,0.0770350411635776,0.603874010994306,0.901884769986601,0.753008099630132,0.913369713506139,0.350758853288364,0.810130164119977,0.298214523060564
"29","Carahue",0.568622397006982,0.182791491981317,0.780046034834607,0.288762959564737,0.434902274973374,0.711294973047511,0.320115204187281,0.685405807892778,0.0534869587147537,0.750915131446153,0.89223760607414,0.751174368338093,0.951227830832197,0.973018549747049,0.621816638370119,0.715512530828644
"30","Angol",0.669889860906178,0.491499212872912,0.773484884438328,0.533753571270399,0.279587607104134,0.385107183151561,0.794723068154608,0.358153387937454,0.0544518029700146,0.510142365903466,0.983742742295666,0.829033818686892,0.739768076398363,0.556492411467116,0.40704584040747,0.599054095963847
"31","Corral",0.309298542385647,0.0705929690730443,0.757163874519482,0.155514776849394,0.328820966983621,1,0.743864938603858,0.791883842144453,0,0.593285217331217,0.784493077266637,0.353488771322003,0.99181446111869,0.436762225969646,0.567204301075269,0.670515632153353
"32","Futrono",0.0177216518394587,0.00854065339892417,0.0286317687817379,0.06272817900515,0.153478185778298,0.389118716309389,0.471768229140319,0.305286671630678,0.513110978942463,0.733472626068108,0.541473872264402,0.561738221202615,1,0.138279932546374,0.0465478211658178,0.114819163233057
"33","La Union",0.293972292362496,0.0904111417885678,0.556506573015044,0.246701144728475,0.306289519386688,0.780243199197693,0.743276776710947,0.640729709605362,0.0801675956206371,0.670932733974516,0.922090218847698,0.557017338514599,0.982605729877217,0.924114671163575,0.355263157894737,0.945926188471933
"34","Lago Ranco",0.00953376096606308,0.00598179502060994,0.018549190831,0.0289850531000591,0.0748471997006362,0.340228155948352,0.405180141442143,0.517870439314967,0.559579900574264,0.755743097644935,0.311460473425636,0.46696942740765,1,0.0961214165261383,0.044708545557442,0.0627796730317664
"35","Lanco",0.433135568630114,0.176882012523572,0.770540078781263,0.226786846861753,0.455380393586705,0.816472358029334,0.317801002977907,0.658600148920328,0.0504652054221696,0.508716706581491,0.850701205895488,0.599528692042387,0.963506139154161,0.310286677908938,0.582059988681381,0.44598710735014
"36","Los Lagos",0.273883020428826,0.0602611148093002,0.474431683356272,0.214946398563386,0.450029264735514,0.663532656387113,0.516258427004185,0.458302308265078,0.0576490898771088,0.508951285730132,0.846252791424742,0.614385817063845,0.993860845839018,0.804384485666105,0.374363327674024,0.732327987240264
"37","Mafil ",0.393290405427931,0.0516648340543257,0.864266052868872,0.148152047751196,0.221345985933737,0.684593205465714,0.837906089701434,0.627699180938199,0.0483546676762409,0.226183397251605,0.79626619026351,0.443911231799241,0.988403819918145,0.467116357504216,0.758913412563667,0.592585618714279
"38","Mariquina",0.448392364348025,0.129029506603894,0.923181149447107,0.204872888260496,0.267757937459821,0.750282060925159,0.670290742183416,0.699180938198064,0.0601462504496129,0.481652819223125,0.890022331397945,0.490932783994257,0.975784447476126,1,0.660724391624222,1
"39","Rio Bueno",0.0211820196694592,0.00756902891324543,0.0394262256181482,0.0630962736785986,0.167424511374867,0.491663532656387,0.747547695410381,0.39054355919583,0.542450016921393,0.562593536162467,0.606234926306387,0.525578600745977,1,0.177065767284992,0.0587153367289191,0.160508321887968
"40","Valdivia",0.448258086024559,0.24791072921901,0.877238859095439,0.269833868553852,0.337365310254171,0.760436254230914,0.595604973745182,0.625465376023828,0.05688966483829,0.434206004135139,0.945064761054041,0.535324687485369,0.932469304229195,0.556492411467116,0.514714204867006,0.776008668940972
"41","Paillaco",0.30092852688962,0.0744720500349525,0.638866214228086,0.153961759935423,0.194253077594727,0.624169487275918,0.890032274709376,0.569620253164557,0.0901263523087218,0.522715080893437,0.831907101384547,0.470769542893705,0.990791268758527,0.558178752107926,0.555744199207697,0.641285646773884
"42","Traiguen",0.581205973687622,0.367446500390319,0.634015946087039,0.397889033452745,0.456756795655386,0.580920145418077,0.633561988014178,0.388682055100521,0.0584043805441188,0.446085892337263,0.944761054041982,0.852786491252711,0.854365620736699,0.462057335581788,0.4684493491794,0.408833975750594
"43","Freire",0.0963115133630083,0.0307359684629976,0.209826301551896,0.0537932135208151,0.25542884831272,0.517863858593456,0.313794150082457,0.605733432613552,0.351362541292038,0.788255040269421,0.515283608753908,0.449904021723863,0.998976807639836,0.370994940978078,0.365308432371251,0.30471253673593
