"","LID","PLAND.z","LPI.z","ED.z","AREA_MN.z","GYRATE_MN.z","SHAPE_MN.z","PARA_MN.z","PAFRAC.z","ENN_MN.z","IJI.z","COHESION.z","AI.z","DIVISION.z","NP.z","PD.z","LSI.z"
"11","Pucon",-1.25802202777754,-0.728531536972662,-1.45052160450061,-0.854780728797783,-0.423932663336451,-0.405981361471157,-0.392922849677655,-0.825150606538886,0.841532595152941,0.902846797082282,-1.65507592155831,-0.798338182885037,0.430996409135522,-1.21546157617055,-1.44140449105038,-1.11820720016715
"12","Pitrufquen",-0.447830265075714,-0.197257643825479,-0.144543137586687,-0.612572202993664,-0.0782458845458397,0.375455163534852,-0.682929061454007,0.867667908784212,-0.073120518146667,0.253678152175747,0.0555626675566361,-0.441937633036179,0.349773953221834,-0.279607549852712,0.631012917574902,-0.226700325533651
"13","Perquenco",-0.779435894735936,-0.328164059520134,-0.674110440872193,-0.800814729512989,-0.543945449034063,-0.140386368343581,1.15127427167782,0.484607261888241,0.165873707251952,-1.94892065323997,-0.482425546645789,-0.502999393395568,0.383322358925313,-1.09198083658694,0.363320787630936,-1.0446881658676
"14","Padre de las casas",-0.82743890491347,-0.463242237234005,-0.921777007583712,-0.535782766476135,-0.900293630985798,-0.561467877548357,0.835941544786805,-0.202193392899985,0.468240007214367,0.0536102554885463,-0.0493844851498022,0.268051411908149,0.395682297868701,-1.33244332946028,-0.590295815320436,-1.27991546859468
"15","Melipeuco",-1.12187725671218,-0.67039629500071,-1.35354608973154,0.000783682469142355,3.82101495687343,0.562973236572161,-2.0681617030035,0.236972096218121,0.273561181386072,0.0594666580086137,-0.144066733868892,0.457664246708362,0.42746499800884,-1.48841900051325,-1.59955957876344,-1.22186297465209
"16","Lumaco",2.5129500548962,3.92623361236004,1.43937429542718,3.46473956304056,0.290997723446024,-0.288532319284088,0.609466422180536,-0.186716195045604,-0.796375455807983,0.322936899197007,1.06657910654902,1.29379403344774,-4.74605230258038,-0.0651410021548751,-0.44385591928982,0.59527652331938
"17","Lonquimay",-1.33292343073075,-0.751250257635644,-1.61956779464744,-0.783895248610461,-1.29014138974727,-2.73494248211247,-1.08787835751786,-2.52570772078918,3.9687230148982,-0.369631178954266,-0.832274923587613,0.40591513520761,0.430996409135522,-1.18946563099505,-1.79988935653333,-1.43328773204002
"18","Lonco",0.425836453781312,-0.271167360932593,0.939184798197237,-0.191728618711906,0.0673935660083923,0.469547862105174,-0.230521547736917,0.5213656067924,-0.442994372527155,0.445485030738614,0.502085991006141,-0.0238544795706849,0.286208552941558,1.39063192767287,1.12129368948541,1.02574606718938
"19","Lautaro",-0.0478628594547706,-0.523915301100981,-0.192467780417955,-0.0926535047432484,0.645348742775807,-0.560800553445022,-0.879528175644735,-1.17725685772609,-0.172366183659178,0.0544538101561723,0.164952838406846,0.671928210840264,0.386853770051997,0.155824531836836,0.118473281467746,-0.212344278390789
"20","Imperial",-0.0185300069957577,-0.349274913571543,0.246002764285783,-0.566896825359558,-0.861671951117335,-1.08598462277015,-0.254089555525968,-0.399527665543363,-0.355220743446851,-1.27646214268244,0.178971326688068,0.0560151794639959,0.362133892165221,0.935702887101698,1.58814407803101,0.115455784309419
"21","Gorbea",0.676711104236805,-0.0157859959895748,0.952236275928285,0.123389112252716,0.651154510667386,0.524935762682031,-0.494193109905744,0.902491603956573,-0.623469919710485,0.100539043894384,0.536787494784253,0.309830511101413,0.215580330407916,0.142826559249088,0.759294266497722,0.341032024300764
"22","Galvarino",1.31078044911261,0.455570965156615,0.858839134490616,0.345415494451068,-0.242406192245162,-1.02659277757328,0.21229150418733,-0.722614170753603,-0.629774361621896,-1.50267053803537,0.760700288478362,1.01328244174889,-0.326491277537782,-0.00665012551001042,1.11367881489181,-0.308854905748143
"23","Ercilla",1.25635118138863,0.10562096994049,0.326955473468266,0.497483699548399,0.124414981299589,-1.17740802492713,0.804019195191865,-1.6144876971124,-0.56299525548036,-0.530973129175988,0.577387488167044,1.37380977324884,0.00546136837033311,-0.422585248317937,0.792682562792703,-0.81376402434517
"24","Curacautin",-1.02411699335,-0.68255524305255,-1.15439523644621,-0.620847622954413,-0.108068744183624,-0.652223955602,-1.08035744507965,-0.459501807229098,0.580831781311498,-0.722886664076141,-0.37586971495626,-0.0451457512749471,0.42746499800884,-0.0976359336242444,-0.968110747079426,-0.387495359410108
"25","Curarrehue",-1.35299578949237,-0.760940913159448,-1.60531021340514,-1.08323742584049,-1.78939705451566,-0.834403435812625,2.17798908420393,-0.339553523857633,2.27455125733466,-1.82847656035209,-3.22131642100051,-2.62303303611267,0.430996409135522,-1.6248977126846,-1.72374061059741,-1.53147140509493
"26","Cunco",-0.639353027124006,-0.689873208927925,-0.704854099248451,-0.354029461349682,0.619035721492505,0.208624137700948,-1.23977014377238,-0.15382714960504,0.0945302436764574,0.596723717010153,-0.310679914260501,0.281856044333893,0.423933586882159,1.17616537997503,-0.483101811426025,0.348396347720614
"27","Collipulli",1.56163123231631,0.998525791957604,0.174043913074635,3.30583439789299,2.23113893010756,0.381461080464874,-0.942686942416888,-0.124807403628072,-0.512937109055233,-0.229213262901923,0.942404409806579,1.6442417920654,-0.771449079499722,-0.214617686913974,-0.777738882239625,-0.165820457420946
"28","Cholchol",0.734607090284365,0.481279448600035,0.876355591445445,-0.161929506008239,-0.415577956087742,-0.67958424383876,-0.826442161745847,-0.0300095667699802,-0.602928263411106,0.395385640306184,0.645871250590076,0.488268167271261,-0.0174928039530997,-0.273108563558838,1.55417002215191,-0.351250906547138
