LID ; TYPE ; CA ; PLAND ; LPI ; TE ; ED ; AREA_MN ; AREA_AM ; AREA_MD ; GYRATE_MN ; GYRATE_AM ; GYRATE_MD ; SHAPE_MN ; SHAPE_AM ; SHAPE_MD ; FRAC_MN ; FRAC_AM ; FRAC_MD ; PARA_MN ; PARA_AM ; PARA_MD ; CIRCLE_MN ; CIRCLE_AM ; CIRCLE_MD ; CONTIG_MN ; CONTIG_AM ; CONTIG_MD ; PAFRAC ; ENN_MN ; ENN_AM ; ENN_MD ; CLUMPY ; PLADJ ; IJI ; COHESION ; AI ; NLSI; DIVISION ; MESH ; SPLIT ; NP ; PD ; LSI 
curaca_2013.tif ; Plantacion ;9878.67;5.9535;0.9763;1094670;6.5972;34.662;569.5615;6.03;199.103;1085.1233;119.0802;1.7998;4.1423;1.5714;1.0944;1.1662;1.09;327.1822;112.8067;275;0.6455;0.7168;0.6704;0.7259;0.9041;0.7644;1.3532;372.7971;174.474;180;0.913;91.5395;49.6722;98.0409;91.8168;0.0818;0.9998;33.909;4893.375;285;0.1718;28.0136
cura_2013.tif ; Plantacion ;516.42;0.4417;0.0744;111300;0.9519;10.3284;45.8908;2.7;136.6371;358.1219;72.5542;1.7725;2.803;1.5;1.0951;1.1503;1.1006;554.7189;218.1945;376.9169;0.6141;0.7026;0.6611;0.5605;0.8175;0.677;1.3594;662.2728;558.4091;180;0.8469;83.6354;38.2697;94.3264;84.758;0.1524;1;0.2027;576886.7967;50;0.0428;12.3553
cunco_2013.tif ; Plantacion ;23426.37;12.4019;0.8921;2309280;12.2253;48.7035;590.4725;6.84;226.1169;1132.8352;134.9391;1.9288;3.8307;1.6923;1.102;1.1644;1.0972;316.0501;99.5955;273.5043;0.6447;0.6907;0.663;0.7354;0.9152;0.7667;1.369;289.6827;158.1513;150;0.9168;92.5303;63.282;98.126;92.7122;0.0729;0.9996;73.2297;2579.469;481;0.2546;38.0862
colli_2013.tif ; Plantacion ;64428.84;49.289;20.3187;3036390;23.2288;241.3065;18062.167;6.57;286.0109;6203.5619;129.8836;1.9547;11.4275;1.5652;1.0955;1.2485;1.0855;336.796;48.9507;259.9581;0.6198;0.7222;0.6449;0.7232;0.9585;0.7788;1.3705;185.8597;66.0902;108.1665;0.9299;96.3287;54.7637;99.7618;96.4427;0.0356;0.9319;8902.6627;14.6828;267;0.2043;31.0478
cholchol_2013.tif ; Plantacion ;15173.73;35.4286;14.3673;1371450;32.0215;58.8129;3067.2588;4.77;187.6782;2518.4971;104.2503;1.7957;9.0199;1.5279;1.093;1.226;1.0847;344.9136;92.6667;293.7255;0.6266;0.6733;0.6413;0.7135;0.9214;0.7527;1.3754;170.4792;78.8238;120;0.8959;93.05;61.2055;99.3747;93.2774;0.0672;0.9746;1086.6874;39.4125;258;0.6024;28.5097
carahue_2013.tif ; Plantacion ;49809.6;37.2832;9.9324;4495050;33.6461;79.4411;5116.7272;6.75;227.289;2989.7472;124.5703;2.0551;9.0162;1.6667;1.1052;1.2366;1.099;353.1215;91.6197;281.1245;0.631;0.6817;0.6656;0.7054;0.922;0.7593;1.4305;150.5443;73.3551;94.8683;0.8924;93.1285;69.2916;99.3207;93.2539;0.0675;0.9857;1907.6783;70.0318;627;0.4693;51.1149
angol_2013.tif ; Plantacion ;52469.37;43.8444;26.5811;3993390;33.3696;138.0773;20812.679;3.51;194.9149;8062.3469;89.0229;1.7949;23.1256;1.4667;1.0848;1.3055;1.0816;493.8508;78.2902;319.1312;0.5635;0.7962;0.6082;0.6007;0.934;0.7281;1.3426;151.3611;65.7008;90;0.8976;94.1282;56.051;99.8329;94.2517;0.0575;0.9237;9125.2035;13.1144;380;0.3175;44.8063
Corral_2014.tif ; Plantacion ;14692.77;20.4814;3.8815;2344500;32.6818;47.5494;856.106;3.78;205.1772;1292.717;97.5295;2.2854;8.6304;1.7;1.1127;1.2516;1.1087;478.7705;160.8138;344.8276;0.6095;0.7065;0.6661;0.6129;0.8666;0.7126;1.4591;105.2643;71.4881;67.082;0.8511;87.939;60.6232;98.7176;88.1574;0.1184;0.9976;175.3423;409.1265;309;0.4307;48.6774
Futrono_2014.tif ; Plantacion ;3345.12;1.5899;0.535;416580;1.98;25.3418;455.1556;6.12;168.6284;848.5872;109.3346;1.7981;3.5432;1.5918;1.0954;1.1594;1.0923;398.0892;128.6053;311.0119;0.617;0.6938;0.6729;0.6753;0.8922;0.7336;1.3284;539.6443;629.4053;101.5174;0.9068;90.3546;68.3324;97.3573;90.8262;0.0917;1;7.2366;29073.9697;132;0.0627;18.5751
La_Union_2014.tif ; Plantacion ;41485.68;19.4884;4.9503;5157000;24.2257;69.374;5580.2177;4.32;200.4807;3540.1428;106.9421;2.1101;16.2096;1.644;1.1053;1.2866;1.0986;478.5961;124.9067;331.8043;0.599;0.7348;0.6508;0.6131;0.8959;0.7203;1.4185;173.1311;82.1201;67.082;0.8853;90.632;64.8932;99.4878;90.7657;0.0923;0.9949;1087.4977;195.7459;598;0.2809;63.5965
